original_name,standard_name
BCCH,Poecile atricapillus
BGGN,Polioptila caerulea
BHCO,Molothrus ater
BHVI,Vireo solitarius
BLJA,Cyanocitta cristata
BRCR,Certhia americana
BTNW,Setophaga virens
BWWA,Vermivora cyanoptera
CANG,Branta canadensis
CARW,Thryothorus ludovicianus
CEDW,Bombycilla cedrorum
CORA,Corvus corax
COYE,Geothlypis trichas
CSWA,Setophaga pensylvanica
DOWO,Dryobates pubescens
EATO,Pipilo erythrophthalmus
EAWP,Contopus virens
HAWO,Dryobates villosus
HETH,Catharus guttatus
HOWA,Setophaga citrina
KEWA,Animalia
LOWA,Parkesia motacilla
NAWA,Leiothlypis ruficapilla
NOCA,Cardinalis cardinalis
NOFL,Colaptes auratus
OVEN,Seiurus aurocapilla
PIWO,Dryocopus pileatus
RBGR,Pheucticus ludovicianus
RBWO,Melanerpes carolinus
RCKI,Corthylio calendula
REVI,Vireo olivaceus
RSHA,Buteo lineatus
RWBL,Agelaius phoeniceus
SCTA,Piranga olivacea
SWTH,Catharus ustulatus
TUTI,Psittaciformes
VEER,Catharus fuscescens
WBNU,Sitta carolinensis
WITU,Meleagris gallopavo
WOTH,Hylocichla mustelina
YBCU,Coccyzus americanus
Loxops coccineus,Loxops coccineus
Himatione sanguinea,Himatione sanguinea
Hydrobates castro,Hydrobates castro
Francolinus francolinus,Francolinus francolinus
Callipepla californica,Callipepla californica
Alectoris chukar,Alectoris chukar
Estrilda astrild,Estrilda astrild
Chasiempis sandwichensis,Chasiempis sandwichensis
Pternistis erckelii,Pternistis erckelii
Chlorodrepanis virens,Chlorodrepanis virens
Loxops mana,Loxops mana
Branta sandvicensis,Branta sandvicensis
Buteo solitarius,Buteo solitarius
Pterodroma sandwichensis,Pterodroma sandwichensis
Haemorhous mexicanus,Haemorhous mexicanus
Drepanis coccinea,Drepanis coccinea
Horornis diphone,Horornis diphone
Lophura leucomelanos,Lophura leucomelanos
Garrulax canorus,Garrulax canorus
Cardinalis cardinalis,Cardinalis cardinalis
Myadestes obscurus,Myadestes obscurus
Loxioides bailleui,Loxioides bailleui
Leiothrix lutea,Leiothrix lutea
Alauda arvensis,Alauda arvensis
Zosterops japonicus,Zosterops japonicus
Meleagris gallopavo,Meleagris gallopavo
Crithagra mozambica,Crithagra mozambica
Anthus rubescens,Anthus rubescens
Turdus migratorius,Turdus migratorius
Euphagus cyanocephalus,Euphagus cyanocephalus
Haemorhous cassinii,Haemorhous cassinii
Nucifraga columbiana,Nucifraga columbiana
Junco hyemalis,Junco hyemalis
Empidonax oberholseri,Empidonax oberholseri
Passerella iliaca,Passerella iliaca
Leucosticte tephrocotis,Leucosticte tephrocotis
Catharus guttatus,Catharus guttatus
Anas platyrhynchos,Anas platyrhynchos
Sialia currucoides,Sialia currucoides
Poecile gambeli,Poecile gambeli
Colaptes auratus,Colaptes auratus
Leiothlypis celata,Leiothlypis celata
Salpinctes obsoletus,Salpinctes obsoletus
Actitis macularius,Actitis macularius
Vireo gilvus,Vireo gilvus
Zonotrichia leucophrys,Zonotrichia leucophrys
Setophaga coronata,Setophaga coronata
Spinus tristis,Spinus tristis
Calypte anna,Calypte anna
Patagioenas fasciata,Patagioenas fasciata
Thryomanes bewickii,Thryomanes bewickii
Pheucticus melanocephalus,Pheucticus melanocephalus
Molothrus ater,Molothrus ater
Certhia americana,Certhia americana
Setophaga nigrescens,Setophaga nigrescens
Branta canadensis,Branta canadensis
Vireo cassinii,Vireo cassinii
